,question,answers
747,"Of the fourteen lunettes, which one was painted first?","Of the fourteen lunettes, the two that were probably painted first, the families of Eleazar and Mathan and of Jacob and Joseph are the most detailed."
748,When was the first major collection donated to the museum?,"Alfred Stieglitz, a famous photographer himself, donated the first major collection of photographs to the museum, which included a comprehensive survey of Photo-Secessionist works, a rich set of master prints by Edward Steichen, and an outstanding collection of Stieglitz's photographs from his own studio."
749,From where can stem stells be harvested right after birth?,Stem cells can also be taken from umbilical cord blood just after birth.
750,When did German cinema begin?,"German cinema dates back to the earliest years of the medium, it has made major technical and artistic contributions to film, as with the work of Max Skladanowsky, who showed the first film sequences ever to an audience, in 1895."
751,What are the East and West gates of the Forbidden City called?,"The east and west gates are called the ""East Glorious Gate"" (D) and ""West Glorious Gate"" (C)."
752,The office of Taoiseach was filled by Enda Kenny when?,Enda Kenny assumed the office of Taoiseach on 9 March 2011.
754,How much does the Eiffel tower sway in the wind?,"As proof of the tower's effectiveness in wind resistance, it sways only 6–7 cm (2–3 in) in the wind."
755,What comprises the majority of Egypt's economy?,"The economy of Egypt is one of the most diversified in the Middle East, with sectors such as tourism, agriculture, industry and services at almost equal production levels."
756,"Who was the composer and conductor for ""Toy Story 3""'s film store?","The film score for ""Toy Story 3"" was composed and conducted by Randy Newman, his sixth for Pixar after ""Toy Story"", ""A Bug's Life"", ""Toy Story 2"", ""Monsters, Inc."", and ""Cars""."
757,What does the taller Captain symbolize?,"For instance, accordingly to Rembrandt's multilayered design, the taller Captain (in black) symbolizes the Dutch Protestant leadership, loyally supported by the Dutch Catholics (represented by the shorter Lieutenant, in yellow)."
758,Did Marlon Brando provide voice work for the game?,"Before his death, Marlon Brando provided voice work for Vito; however, owing to poor sound quality from Brando's failing health, only parts of the recordings could be used."
759,At what year did Kennedy take office as New York Senator?,"He took office as Senator from New York on January 3, 1965."
760,Where was LMFAO's Sexy and I know it filmed?,"The music video for ""Sexy and I Know It"" was filmed in Venice, California, and uploaded on LMFAO's YouTube channel on September 16, 2011."
761,Where is the Mount Rushmore National Memorial?,"The Mount Rushmore National Memorial is a sculpture carved into the granite face of Mount Rushmore (Lakota Sioux name: Six Grandfathers) near Keystone, South Dakota, in the United States."
762,"Which actress played Veronica in ""Silver Linings Playbook""?", Julia Stiles as Veronica
763,Who played the female coworker in Payphone?,"He and his female co-worker (played by Dutch model Bregje Heinen) escape though Levine is shot in the arm, but when some cops mistake him for one of the robbers, Levine tells the female co-worker to hide in a car and steals an AC Cobra 427 that belongs to Wiz Khalifa to get away from them."
764,"During a strike and armed uprising by Catalan seperatists, who was trapped?","Dalí and his wife, Gala, were trapped in the middle of a general strike and an armed uprising by Catalan separatists in 1934, in Catalonia, and this may have influenced his Spanish Civil War motif."
765,Where is the El Capital Theatre located?,"In the United States, it premiered on June 13, 2010 at El Capitan Theatre in Hollywood, California."
766,How many themed areas does the park contain?,"There are seven themed areas in the park: the World Bazaar; the four classic Disney lands: Adventureland, Westernland, Fantasyland and Tomorrowland; and two mini-lands: Critter Country and Mickey's Toontown."
767,"What is the Picasso painting, ""Dora Maar with Cat,"" of?","It depicts Dora Maar, the painter's lover, seated on a chair with a small cat perched on her shoulders."
768,What is a major emitter of greenhouse gases in Indonesia?,Deforestation and the destruction of peatlands make Indonesia the world's third largest emitter of greenhouse gases.
769,"What month and year did Schwartz write the pilot of ""Gossip Girl""?","As of October 2006, Schwartz was working on the pilot."
770,What did the tapes reveal?,"The tapes revealed several crucial conversations that took place between the President and his counsel, John Dean, on March 21, 1973."
771,Where are metals located on the periodic table?,Metals are generally located to the left and bottom of the periodic table.
772,"In 1938, who's population was larger, The Western Allies or the European Axis?","In 1938, the Western Allies (United Kingdom, France, Poland and British Dominions) had a 30 percent larger population and a 30 percent higher gross domestic product than the European Axis (Germany and Italy); if colonies are included, it then gives the Allies more than a 5:1 advantage in population and nearly 2:1 advantage in GDP."
774,On which planets have scientists seen auroras?,These auroras have also been observed on Venus and Mars.
775,How many pipes doe the organ at Notre Dame de Paris have?,"The organ has 7,374 pipes, with ca 900 classified as historical."
776,What nation is the leader in solar energy use per capita?,"Israelis also take advantage of the considerable sunlight available for solar energy, making Israel the leading nation in solar energy use per capita (practically every house uses solar panels for water heating)."
777,What is the number of viral infections that vaccines can prevent?,"Vaccines are available to prevent over thirteen viral infections of humans, and more are used to prevent viral infections of animals."
778,Who are the four key resident companies of the Sydney Opera House?,"The venues produce and present a wide range of in-house productions and accommodate numerous performing arts companies, including four key resident companies: Opera Australia, The Australian Ballet, the Sydney Theatre Company and the Sydney Symphony Orchestra."
779,What kind of food is served in Coney Island restaurants near Detroit?,"""Chili Cheese Fries"" are served in Coney Island restaurants around Detroit, Michigan."
780,The ministry plans to add how many hospitals to the current 14?,"The ministry plans to add three hospitals to the current 14, and 29 primary healthcare centres to the current 86."
781,"In total, what percent of the entire population has been affected in some way?","In total, almost the entire population (96%) has been affected insome way – either personally or because of the wider consequences of armed conflict."
782,who painted the mona lisa?,"The Mona Lisa (Monna Lisa or La Gioconda in Italian; La Joconde in French) is a half-length portrait of a woman by the Italian artist Leonardo da Vinci, which has been acclaimed as ""the best known, the most visited, the most written about, the most sung about, the most parodied work of art in the world."
783,What is the amount of parks that were bought by Anheuser-Busch from HBJ in 1989?,"Despite a long negotiation, Anheuser-Busch bought all six parks in 1989: SeaWorld in San Diego, Aurora, Orlando and San Antonio as well as Cypress Gardens in Winter Haven and Boardwalk and Baseball in Haines City."
784,What does a coupler attach to a bag?,"To use a piping bag or syringe, a piping tip is attached to the bag or syringe using a coupler."
785,When was there development of small scale stauettes for private patrons?,"During the High Renaissance there was the development of small scale statuettes for private patrons, the creation of busts and tombs also developing."
786,What range does Nicki Minaj have in this song?,Nicki Minaj's vocals span from G3 to E5 in the song.
787,How many contested territorial disputes does Brazil have with its bordering countries?,"Additionally, Brazil has no contested territorial disputes with any of its neighbours and neither does it have rivalries, like Chile and Bolivia have with each other."
789,When did Maria Candelaria win the Palme d'Or?,"Maria Candelaria (1944) by Emilio Fernández, was one of the first films awarded a Palme d'Or at the Cannes Film Festival in 1946, the first time the event was held after World War II."
791,how many years has wrestling been observed on cave drawings in France?,"The origins of wrestling go back 15,000 years through cave drawings in France."
792,Who became influenced by the French painters?,"The 20th century saw the arrival of Modernism, and along with it came the most prominent Portuguese painters: Amadeo de Souza-Cardoso, who was heavily influenced by French painters, particularly by the Delaunays."
793,How do you image veins?,Magnetic resonance venography (MRV) is a similar procedure that is used to image veins.
794,What is Judo?,"Judo is a hierarchical art, where seniority of judoka is designated by what is known as the - ranking system."
795,How many astronauts won the Congressional Gold Medal?,"On August 7, 2009, an act of Congress awarded the three astronauts a Congressional Gold Medal, the highest civilian award in the United States."
798,Who did John Wilkes Booth look to for help in assassinating Lincoln?,"The first time was November 1864 when Booth, looking for help in his kidnapping plot, was directed to Mudd by agents of the Confederate Secret Service."
799,"Who made the ""Ice Cream"" jingle that gets played buy ice cream vans??","The ice cream van is usually playing a jingle called ""Ice Cream"" by Andre Nickatina."
800,When did Picasso start Les Demoiselles?,"In 1907, when Picasso began to work on ""Les Demoiselles"", one of the old master painters he greatly admired was El Greco (1541–1614)."
801,"How much was ""The Card Players"" reportedly sold for?","There have been reports that ""The Card Players"", by Cézanne, sold privately for $250m in 2011, which can not be verified for the establishment of a record price."
802,How many species of trees and other vascular plants are in Yellowstone National Park?,"Over 1,700 species of trees and other vascular plants are native to the park."
803,"What was the movie ""Jiro Dreams of Sushi"" originally supposed to be named?","Initially, Gelb had planned to do what he had nicknamed ""Planet Sushi"", inspired by the cinematography of the BBC documentary ""Planet Earth"":""Originally, I was going to make a film with a lot of different sushi chefs who all had different styles, but when I got to Jiro's restaurant, I was not only amazed by how good the sushi was and how much greater it was than any other sushi restaurant I had ever been to, but I also found Jiro to be such a compelling character and such an interesting person."
804,How many works of art were created by Pablo Picasso?,"The total number of artworks he produced has been estimated at 50,000, comprising 1,885 paintings; 1,228 sculptures; 2,880 ceramics, roughly 12,000 drawings, many thousands of prints, and numerous tapestries and rugs."
805,What areas of research does physics cross with?,"Physics intersects with many interdisciplinary areas of research, such as biophysics and quantum chemistry, and the boundaries of physics are not rigidly defined."
806,In what way is croquet different from other sports?,"Unlike most sports, men and women compete and are ranked together."
807,"What inspired the creation of St. Peter's in Adelaide, Australia?","The design of St. Peter's Anglican Cathedral in Adelaide, Australia was inspired by Notre-Dame de Paris."
809,Where does 93% of Venezuela's populace live?,About 93% of the population lives in urban areas in northern Venezuela; 73% live less than from the coastline.
810,During what years were the basics of Hindu literature created?,"During the Vedic period (c. 1700 – 500 BCE), the foundations of Hindu philosophy, mythology, and literature were laid, and many beliefs and practices which still exist today, such as ""dhárma"", ""kárma"", ""yóga"", and ""mok?a"", were established."
811,What is the goal of golf?,"In every form of play, the goal is to play as few strokes per round as possible."
812,What year did the Thailand legislative assembly meet?,"The assembly met for the first time on 28 June 1932, in the Ananda Samakhom Throne Hall."
813,Who is Inside Llewyn Davis' author?,"Inside Llewyn Davis is a 2013 American comedy-drama film written, directed and edited by Joel and Ethan Coen."
814,When was the Muromachi period of Japan?,"Beginning in the Muromachi period (1336–1573) of Japan, vinegar was added to the mixture for better taste and preservation."
815,Where and when is the Haxey Hood played?," The Haxey Hood, played on Epiphany in Haxey, Lincolnshire"
816,Where is the Heritage and Research Center located at?,"The Heritage and Research Center is located at Gardiner, Montana, near the north entrance to the park."
817,Which songs were nominated for awards from the film?,"The songs ""Circle of Life"" and ""Hakuna Matata"" were also nominated."
818,When was Viva la Vida chosen as the anthem for FC Barcelona?,The song also became the anthem of Spanish football club FC Barcelona during the 2008–09 season.
819,Where is the law firm located in the show?,"As a junior associate at a prestigious Chicago law firm, Alicia Florrick joins her longtime friend, former law school classmate and firm partner Will Gardner, who is interested in rekindling their former relationship."
820,What is the purpose an animals skins and organs in cheese making?,"Since animal skins and inflated internal organs have, since ancient times, provided storage vessels for a range of foodstuffs, it is probable that the process of cheese making was discovered accidentally by storing milk in a container made from the stomach of an animal, resulting in the milk being turned to curd and whey by the rennet from the stomach."
821,When was Fight Club released in theaters?,"Like other 1999 films ""Magnolia"", ""Being John Malkovich"", and ""Three Kings"", ""Fight Club"" was recognized as an innovator in cinematic form and style since it exploited new developments in filmmaking technology."
822,When did bronze become part of Norway's livelihood?,"From about 1500 BC bronze was gradually introduced, but the use of stone implements continued; Norway had few riches to barter for bronze goods, and the few finds consist mostly of elaborate weapons and brooches that only chieftains could afford."
823,"What film, starring John Wayne, was one of the first major films based on the Vietnam War?","One of the first major films based on the Vietnam War was John Wayne's pro-war film, ""The Green Berets"" (1968)."
824,Which actor played Uncle Scott in season 1?, Bruce Gray as Uncle Scott (season 1)
825,When was an article published in the New York World-Telegram that attacked the Man at the Crossroads mural for being anti-capitalist?,"On 24 April 1933 the ""New York World-Telegram"" newspaper published an article attacking the mural as anti-capitalist propaganda."
826,How do different cultures cause a problem on the ISS?,The ISS working environment includes further stress caused by living and working in cramped conditions with people from very different cultures who speak a different language.
827,What are religiouos carnivals called in Egypt?,"Egypt celebrates many festivals and religious carnivals, also known as ""mulid""."
828,How is the title spelled in modern Italian?,"The title of the painting, though traditionally spelled ""Mona"" (as used by Vasari), is also commonly spelled in modern Italian as ""Monna Lisa"", but this is rare in English."
829,When did the U.S. secure Britain's cooperation in limiting Allied activities in the Mediterranean?,"Although the British argued for further operations in the Balkans to bring Turkey into the war, in May 1943 the Americans extracted a British commitment to limit Allied operations in the Mediterranean to an invasion of the Italian mainland and to invade France in 1944."
830,"Which artist created ""Benefits Supervisor Sleeping'?","Contemporary painters include Lucian Freud, whose work ""Benefits Supervisor Sleeping"" in 2008 set a world record for sale value of a painting by a living artist."
831,"Who produced the Maroon 5 song ""One More Night""?","""One More Night"" was written by Adam Levine, Shellback, Max Martin, and Savan Kotecha, while production was handled by Martin and Shellback."
832,"Which single did Jeff Bhasker refer to when eh stated that it ""had a Queen/Freddie Mercury vibe to it""?","In an interview with ""Fuse"", producer Jeff Bhasker also stated that the album's lead single ""We Are Young"" ""had a Queen/Freddie Mercury vibe to it""."
833,What was the number of wheel chaired athletes competing in 1986?,"However, by 1986 14 wheelchair athletes were competing, and an official wheelchair division was added to the marathon in 2000."
834,What is a major problem for modern medicine?,"According to Paul Farmer, the main problem for modern medicine is lack of access in poor regions."
836,When did people vote for South Park as the 3rd greatest cartoon ever?,"In 2004, Channel 4 voted ""South Park"" the third-greatest cartoon of all time."
837,What occurred in Poland from 1936-1939?,"Between 1936 and 1939, Poland invested heavily in the Central Industrial Region."
838,"How many first week copies did ""glad you came"" debute with?","In the United Kingdom, the song debuted at number one with first-week sales of over 117,000 copies, becoming the band's second number-one single in the UK."
839,What percentage of the country's kids are being abused?,The National Society for Human Rights reports that almost 45% of the country's children are facing some sort of abuse and domestic violence.
840,When did the Art Institute of Chicago appoint Frederick Bartlett as trustee?,"In 1923, Frederick Bartlett was appointed trustee of the Art Institute of Chicago."
841,Which person was force to readopt the Ottoman constitution of 1876?,"When the revolt broke out, it was supported by intellectuals, the army, and almost all the ethnic minorities of the Empire, and forced Sultan Abdul Hamid II to re-adopt the long defunct Ottoman constitution of 1876, ushering in the Second Constitutional Era."
842,Which roller coaster at Universal Studios Hollywood operates inside?,Revenge of the Mummy is a high speed in-door roller coaster.
843,"Which year did the album ""Bro on the Go"" come out?"," ""Bro on the Go"", a companion to ""The Bro Code"", released in 2009."
845,In 1984 Weird Al produced an album what was the name?,"""Weird Al"" Yankovic included the song in his first polka medley ""Polkas on 45"" from his 1984 album """"Weird Al"" Yankovic in 3-D""."
846,What part of the Grand Cranyon sees rain in the summer?,Heavy rains are common on both rims during the summer months.
847,What type of rice might Native Americans have extensively cultivated?,The Native Americans of what is now the Eastern United States may have practiced extensive agriculture with forms of wild rice.
848,What is the age of Zach and Grace?,"Gaining confidence every day, Alicia transforms herself from embarrassed politician's scorned wife to resilient career woman, especially for the sake of providing a stable home for her children, 14-year-old Zach and 13-year-old Grace."
849,What was Nagreen's purpose for introducing his pork sandwiches at the Seymour Fair?,"Nagreen was fifteen when he reportedly made sandwiches out of pork that he was selling at the 1885 Seymour Fair (now the Outagamie County Fair), so that customers could eat while walking."
850,How many lives were lost during the Sook Ching massacre?,"The Sook Ching massacre of ethnic Chinese after the fall of Singapore claimed between 5,000 and 25,000 lives."
851,When did the British Royal Mail begin using bicycles?,"The British Royal Mail first started using bicycles in 1880; now bicycle delivery fleets include 37,000 in the UK, 25,700 in Germany, 10,500 in Hungary and 7000 in Sweden."
852,"What writer wrote the book that became the movie ""Wake in Fright?""","A film version of ""Wake in Fright"", based on the 1961 novel by Kenneth Cook, was linked with the actor Dirk Bogarde and the director Joseph Losey as early as 1963."
854,Who is Rocky's brother?,"Sterling Sulieman as Clint, Rocky's brother"
855,"How does the music video for Taylor Swift's ""We are never ever getting back together"" end?","The video ends with Swift on her window ledge where she was at the beginning of the video, singing the last line of the song."
856,What person testified in court that Booth got supplies delivered to Mudd's residence?,"Additionally, George Atzerodt testified that Booth sent supplies to Mudd's house in preparation for the kidnap plan."
857,"Although other prisons are captured, where do the brothers escape to?","Half of the escapees are killed or recaptured, but the brothers make it to Panama."
859,How much was stolen from Nigeria's treasury between 1960-1999?,More than $400 billion was stolen from the treasury by Nigeria's leaders between 1960 and 1999.
860,What type of gun did Princip use to assassinate Franz Ferdinand?,"When Franz Ferdinand's car approached on its return journey, Princip stepped forward and fired two shots from a distance of about one and a half metres (5 feet) using a Belgian-made 9×17mm (.380 ACP) Fabrique Nationale model 1910 semi-automatic pistol."
863,When was the peace plan accepted?,On 16 September 1989 the committee issued a peace plan which was accepted by all.
864,How many indigenous languages are recognized by the constitution?,"In addition to Spanish, the Constitution recognizes more than thirty indigenous languages, including Wayuu, Warao, Pemón, and many others for the official use of the indigenous peoples, mostly with few speakers – less than 1% of the total population."
865,What did Pop Crush rate the song?,"Scott Schelter from Pop Crush awarded ""Moves like Jagger"" four-and-a-half out of five stars."
866,Why do pork bellies get tumbled?,"This softens the bellies, which makes it easier to remove the rinds."
867,When did Venezuela host the Basketball World Olympic Qualifying Tournament?,"Venezuela hosted the 2012 Basketball World Olympic Qualifying Tournament and the 2013 FIBA Basketball Americas Championship, which took place in Poliedro de Caracas."
868,When did skiing begin in Australlia?,Skiing in Australia began in the 1860s and snow sports take place in the Australian Alps and parts of Tasmania.
869,Who got their wage cut by 20% in 2010?,"In 2012, all public servants had already seen an average wage cut of 20% relative to their 2010 baseline, with cuts reaching 25% for those earning more than 1,500 euro per month."
870,General relativity and what other theoretical foundation underlie the Big Bang model?,The Big Bang model rests on two theoretical pillars: Albert Einstein's general relativity and the cosmological principle.
871,During what year did the Division rule that athletes in wheelchairs had the ability to compete in the NYC marathon?,"The Division ruled in 1979 that the New York City Marathon and New York Road Runners club had to allow wheelchair athletes to compete, and confirmed this at appeal in 1980, but the State Supreme Court ruled in 1981 that a ban on wheelchair racers was not discriminatory as the marathon was historically a foot race."
872,What is the current status of the problem of quantum gravity and the question regarding the reality of spacetime singularities?,The problem of quantum gravity and the question of the reality of spacetime singularities remain open.
873,"What religion was Dali's painting ""Galatea of the Spheres"" symbolic of?",This painting was also symbolic of his attempt to reconcile his new faith in Catholicism with nuclear physics.
874,Where does English writing first make mention of pho?,"""Possibly the earliest English-language reference to pho was in the book ""Recipes of All Nations"", edited by Countess Morphy in 1935: In the book, pho is described as ""an Annamese soup held in high esteem ... made with beef, a veal bone, onions, a bayleaf, salt, and pepper, and a small teaspoon of ""nuoc-mam""""."
875,How is Kashmir legally claimed by India?,"India claims Kashmir on the basis of the Instrument of Accession, a legal agreement with Kashmir's leaders executed by Maharaja Hari Singh, then ruler of Kashmir, agreeing to accede the area to India."
877,Electromagnetism is one of how many interactions in nature?,"Electromagnetism, or the electromagnetic force is one of the four fundamental interactions in nature, the other three being the strong interaction, the weak interaction, and gravitation."
878,What does the term clone mean?,"The term ""clone"" is used in horticulture to refer to descendants of a single plant which were produced by vegetative reproduction or apomixis."
879,In Gilmore Girls which character does Sean Gunn play?,"""*"" In the second episode of Season One ('The Lorelais' First Day at Chilton'), Sean Gunn played a character named ""Mick"", who worked for a telephone company as a DSL installer."
880,How many people are in the Jewish Community of Antwerp?,"The Jewish Community of Antwerp (numbering some 18,000) is one of the largest in Europe, and one of the last places in the world where Yiddish is the primary language of a large Jewish community (mirroring certain Orthodox and Hassidic communities in New York and Israel)."
881,What plots the movement of the systems through the Milky Way?,Measurements of radial velocity and proper motion plot the movement of these systems through the Milky Way galaxy.
882,When was micro-organisms discovered?,"On 9 October 1676, Van Leeuwenhoek reported the discovery of micro-organisms."
883,When was the second workout DVD released?,"It was released on November 9, 2010."
884,What is Epigentics the study of?,"Epigenetics is the study of mitotically and/or meiotically heritable changes in gene function that cannot be explained by changes in the underlying DNA sequence but cause the organism's genes to behave (or ""express themselves"") differently."
885,"Why is Jerusalem important to Jews, Muslims, and Christians?","The city of Jerusalem is of special importance to Jews, Muslims and Christians as it is the home of sites that are pivotal to their religious beliefs, such as the Israeli-controlled Old City that incorporates the Western Wall and the Temple Mount, the Al-Aqsa Mosque and the Church of the Holy Sepulchre."
886,"What was the name of ""The Simpsons"" episode that sung the parody Christmas song?","The title of ""The Simpsons"" episode ""Simpsons Roasting on an Open Fire"" is a parody of the song."
887,Who was the backing vocal and acoustic guitar?,"John Lennon – backing vocal, acoustic guitar"
888,What times does the shuttle run?,The shuttle time varies between days but it typically runs between: 7:00 a.m.-7:00 p.m. and later on Fridays and Saturdays.
889,How many people were estimated to have visited the pier during the 1920s?,"During the 1920s, it is estimated that an average of 3.2 million visitors frequented the Pier annually."
890,How does season 3 of How I Met Your Mother start?,"Barney begins the season with the word, ""-dary!"""
891,What was the first manned spacecraft to orbit another body?,"Apollo 8 was the first manned spacecraft to orbit another celestial body, while Apollo 17 marked the last moonwalk and the last manned mission beyond low Earth orbit."
892,Why do scholars study the causes of the Great Depression?,The search for causes is closely connected to the issue of avoiding future depressions.
893,What grade did the film receive?,"""Audiences polled by the market research firm CinemaScore gave the film a B+ grade on average."
894,What year was West Florida recognized as part of the US by congress?,"In early 1804, Congress passed the Mobile Act which recognized West Florida as being part of the United States."
895,When did the Australian Museum say they were halting the DNA replication of a Thylacine project?,"However, on February 15, 2005 the museum announced that it was stopping the project after tests showed the specimens' DNA had been too badly degraded by the (ethanol) preservative."
896,What reason did ABC give for the change in actor?q,ABC gave no reason for this change.
897,Who occupied Austria during pre-Roman times?,"Settled in ancient times, the Central European land that is now Austria was occupied in pre-Roman times by various Celtic tribes."
898,"Who is the famous sculpture ""The Thinker"" done by?","The Thinker ("""") is a bronze sculpture by Auguste Rodin, usually placed on a stone pedestal."
899,What did Elizabeth Weitzman say about the album?,""", while Elizabeth Weitzman of ""New York Daily News"" praised that ""Grohl's aim is to explore the aura of a place, but what he winds up proving is that people make the magic."
900,Who swam with geese as part of his studies of animal behavior?,"Other sciences use swimming, for example Konrad Lorenz swam with geese as part of his studies of animal behavior."
901,What was the name of the second single from the band Lights?,"Her second single, ""February Air,"" sold 12,000 copies."
902,How many players are featured on a MLB team's active roster?,Major League Baseball teams maintain 25-player active rosters.
903,Where do contestants stay for the first two weeks of filming?,"For the first two weeks of filming the contestants stay in ""Villa De La Vina,"" a , six-bedroom, nine-bath home in Agoura Hills, California."
904,the incas came to south america in the 15th century,"In the 15th century, the Incas emerged as a powerful state which, in the span of a century, formed the largest empire in pre-Columbian America."
905,Who suffered a fatal luging crash in 2010?,"Georgian luger Nodar Kumaritashvili suffered a fatal crash during his final practice run for the 2010 Winter Olympics in Whistler, British Columbia, Canada."
906,"Who was the artist that performed the song ""I Believe I Can Fly"" on the X-Factor?","On December 21, 2011, R. Kelly performed it on X-Factor as a duet with Melanie Amaro."
907,"Who composed the song ""Jingle Bell Rock""?","""Jingle Bell Rock"" was composed by Joseph Carleton Beal (1900–1967), and James Ross Boothe (1917–1976)."
908,What was initial name of the windmill completed in 1903?,"The first, on the north side of the park facing the Pacific Ocean, was completed in 1903 and became known first as the North Windmill and later as the Dutch Windmill; it is now paired with the Queen Wilhelmina Tulip Garden."
909,What rocks located in the Great Smoky Mountains are the oldest?,The oldest rocks in the Smokies are the Precambrian gneiss and schists which were formed over a billion years ago from the accumulation of marine sediments and igneous rock.
910,Is yogurt rich in protein?,"Yogurt is nutritionally rich in protein, calcium, riboflavin, vitamin B6 and vitamin B12."
911,How many acrobatic elements must each series have?,Each series must have at least three different acrobatic elements.
912,In what year was the original Notre Dame de Paris demolished?," 1160 Maurice de Sully (named Bishop of Paris), orders the original cathedral demolished."
913,What actor plays the father in the movie Wadjda?, Sultan Al Assaf as Father
914,"What character on the TV series ""Family Guy"" says the phrase ""Freakin' sweet""?","Notable expressions include Quagmire's ""Giggity giggity goo"", Peter's ""Freakin' sweet"", and Joe's ""Bring it on!"""
915,What is the rate of home ownership in Singapore?,Home ownership rate is at 87.2%.
916,Where do some molecules radiate strongly?,Some molecules radiate strongly in the infrared.
917,"Where did the series start airing on Jan 31, 1999?","In Canada the series started airing on January 31, 1999 on Global, on September 1, 2003 on Teletoon, and on July 4, 2012 on Adult Swim."
918,What year did the modern Olympics start?,"When the modern Olympics began in 1896, the initiators and organizers were looking for a great popularizing event, recalling the ancient glory of Greece."
919,What was the motivation behind farmers going through wholesalers to sell their produce on consignment at The Lots?,"Most farmers, due to the amount of time required to work their farms, were forced to sell their produce on consignment through the wholesalers on Western Avenue."
921,The period known as the July crisis followed the assassination of whom?,"The assassination led to a month of diplomatic manoeuvring between Austria-Hungary, Germany, Russia, France, and Britain which was called the July Crisis."
922,Who used the name officially between 1804 and 1813?,"Between 1804 and 1813, the name was used officially by Emperor Gia Long."
923,The 5th season of 30 Rock aired when?,"""30 Rock"" premiered its fifth season on September 23, 2010 in the Thursday 8:30 p.m. time slot."
924,A few people in Hokkaido are the only people who speak which language?,"The Ainu language, which has no proven relationship to Japanese or any other language, is moribund, with only a few elderly native speakers remaining in Hokkaido."
925,At which county fair did Frank and Charles Mences claim to sell the first hamburger?,"Another claim from 1885 comes from Frank and Charles Menches who claim to have sold a ground beef sandwich at the Erie County Fair in Hamburg, New York."
926,Is there evidence of retainer sacrifices?,"However, there is evidence that indicates the use of retainer sacrifices."
927,What happened to the region's trade flow during the Marshall Plan?,The region's trade flows had been thoroughly disrupted; millions were in refugee camps living on aid from United Nations Relief and Rehabilitation Administration and other agencies.
928,How is carving a snowboard similar to a roller coaster ride?,"Carving on a snowboard is like riding a roller coaster, because the board will lock into a turn radius and provide what feels like multiple Gs of acceleration."
929,When was the Vincent van Gogh Foundation established?,"Both are in the possession of the Vincent van Gogh Foundation, established 1962 by Vincent Willem van Gogh, the artist's nephew, and on permanent loan to the Van Gogh Museum, Amsterdam."
930,What is the reading rate of people over the age of 15 in Argentina,"Today Argentina has a literacy rate of 97.4%, and 16.2% over age 15 have completed secondary school studies or higher."
931,What are by far the most abundant biological entities on Earth and outnumber all the others put together?,Viruses are by far the most abundant biological entities on Earth and they outnumber all the others put together.
932,What member of the Ptolemaic line last ruled Egypt?,"The last ruler from the Ptolemaic line was Cleopatra VII, who committed suicide following the burial of her lover Mark Antony who had died in her arms (from a self-inflicted stab wound), after Octavian had captured Alexandria and her mercenary forces had fled."
933,"When Kelly performed the song at the 40th Annual Grammy Awards,"" I Believe I Can Fly"".Which NBA player was commonly associated with it?","Since its release, it has become commonly associated with the NBA, most notably with Michael Jordan."
934,"When did Judy Garland release ""Have Yourself a Merry Little Christmas""?","""Have Yourself a Merry Little Christmas"" is a song introduced by Judy Garland in the 1944 MGM musical ""Meet Me in St. Louis""."
935,Who lived in the area that became Great Smoky Mountains National Park?,"Before the arrival of European settlers, the region was part of the homeland of the Cherokees."
937,What is nucleaus of the most common isotope of the hydrogen atom?,"The nucleus of the most common isotope of the hydrogen atom (with the chemical symbol ""H"") is a lone proton."
938,when was the 40th anniversary of apollo 11?,"The Jodrell Bank Observatory radio telescope in England was later discovered to have recorded transmissions from Luna 15 during its descent, and this was published in July 2009 on the 40th anniversary of Apollo 11."
939,Who composed Fruitvale Station?,"The musical score to ""Fruitvale Station"" was composed by Ludwig Göransson."
940,In Wake in Fright who plays Jarvis?, Slim de Grey as Jarvis
941,How many viewers watched the 2-5th episodes of Once Upon a Time?,The show's next three episodes had consistent ratings every week with over 11 million viewers.
942,What did the Tokyo version of Van Gogh's Sunflowers add?,"The Tokyo version, however, was enlarged on all sides with strips of canvas, which were added at a later time—presumably by the first owner, Emile Schuffenecker."
943,"In electrochemistry, what is the procedure used on a Neutral medium?","The same procedure as used on acid medium is applied, for example on balancing using electron ion method to complete combustion of propane."
944,"What yaer did MacFarlane come up with the idea for ""Family Guy""?","MacFarlane initially conceived ""Family Guy"" in 1995 while studying animation at the Rhode Island School of Design (RISD)."
945,"Beginning the 20th century, name one of the world's leading opera singers.","At the beginning of the 20th century, Nellie Melba was one of the world's leading opera singers."
946,What is the United States energy market?,"The United States energy market is 29,000 terawatt hours per year."
947,Estonian youth demonstrated on what day?,"At the 1st May 1987 demonstration, young people showed up bearing banners and slogans, despite a ban against such actions."
948,What federal agent was assigned to track down the 8 fugitives?,"Federal agent Alexander Mahone (William Fichtner) is assigned to track down and capture the eight fugitives, but is revealed to be working for The Company, which wants all eight men dead."
949,What date did the Aurora shooting happened on?,"On July 20, 2012, during a midnight showing of the film at the Century 16 cinema in Aurora, Colorado, a gunman wearing a gas mask opened fire inside the theater, killing 12 people and injuring 58 others."
950,What date did Transformers: The Ride open?,"On May 24, 2012, Transformers: The Ride opened on the Lower Lot."
951,"What illness caused Greene's death in ""The Shawshank Redemption""?",Greene died shortly before the film was released due to complications of HIV/AIDS.
952,What is the highest-grossing motion picture worldwide of 1994?,It is also the highest-grossing motion picture of 1994 worldwide.
